GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployable,4,114,1,3,1,18,2,13,1,12
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployableContainer,19,285,3,7,1,46,4,21,1,19
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,EntandoKeycloakServerController,9,252,1,3,4,57,3,14,2,13
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakServiceDeploymentResult,0,12,0,0,0,4,0,2,0,2
